"","answer.keys","n","size","trials_3.thisRepN","participant"
"102","down",1,1,1,"EU"
"103","down",5,5,1,"EU"
"104","down",3,1,1,"EU"
"105","down",3,5,1,"EU"
"106","down",1,3,1,"EU"
"107","left",4,3,1,"EU"
"108","down",4,5,1,"EU"
"109","down",1,4,1,"EU"
"110","down",4,2,1,"EU"
"111","down",6,3,1,"EU"
"112","down",5,3,1,"EU"
"113","down",1,2,1,"EU"
"114","down",6,1,1,"EU"
"115","left",2,4,1,"EU"
"116","left",3,3,1,"EU"
"117","down",5,4,1,"EU"
"118","down",2,1,1,"EU"
"119","down",5,2,1,"EU"
"120","left",6,5,1,"EU"
"121","right",5,2,1,"GAS"
"122","right",1,1,1,"GAS"
"123","down",6,5,1,"GAS"
"124","right",4,5,1,"GAS"
"125","right",3,2,1,"GAS"
"126","down",6,1,1,"GAS"
"127","down",5,1,1,"GAS"
"128","down",1,2,1,"GAS"
"129","down",6,3,1,"GAS"
"130","down",1,5,1,"GAS"
"131","down",4,3,1,"GAS"
"132","down",4,2,1,"GAS"
"133","down",3,5,1,"GAS"
"134","down",4,1,1,"GAS"
"135","down",2,1,1,"GAS"
"136","down",3,3,1,"GAS"
"137","left",3,1,1,"GAS"
"138","right",1,3,1,"GAS"
"139","right",6,2,1,"GAS"
"140","down",5,5,1,"GAS"
"141","right",2,4,1,"GAS"
"142","down",6,4,1,"GAS"
"143","right",3,4,1,"GAS"
"144","down",1,4,1,"GAS"
"145","right",2,2,1,"GAS"
"146","down",4,4,1,"GAS"
"147","down",5,3,1,"GAS"
"148","down",2,5,1,"GAS"
"149","down",5,4,1,"GAS"
"150","down",2,3,1,"GAS"
"151","down",6,3,1,"KVA"
"152","down",3,2,1,"KVA"
"153","down",4,1,1,"KVA"
"154","down",6,2,1,"KVA"
"155","down",2,2,1,"KVA"
"156","down",6,1,1,"KVA"
"157","down",5,5,1,"KVA"
"158","down",1,5,1,"KVA"
"159","down",5,4,1,"KVA"
"160","right",5,1,1,"KVA"
"161","down",2,4,1,"KVA"
"162","down",2,3,1,"KVA"
"163","down",4,4,1,"KVA"
"164","down",3,4,1,"KVA"
"165","down",5,3,1,"KVA"
"166","down",2,1,1,"KVA"
